date,category,amount,department,vendor
2024-05-01,  Information Technology ,179.35,Finance, GitHub  
2024-05-01,IT,311.57,Engineering,Zoom
2024-05-02,Marketing,419.99,Sales,LinkedIn Ads
2024-05-02,IT,374.40,Sales,AWS
2024-05-03,IT,678.19,Operations,Salesforce
2024-05-03,Marketing,110.73,Engineering,Google Ads
2024-05-03,Travel,199.53,Operations,Booking.com
2024-05-03,Professional Services,1205.93,Finance,Mercer Consulting
2024-05-03,Marketing,579.94,Engineering,Mailchimp
2024-05-04,IT,1015.83,Engineering, Slack  
2024-05-04,Marketing,1327.97,HR,Meta Ads
2024-05-05,Travel,846.67,Sales,Uber
2024-05-05,Equipment,784.42,HR,CDW
2024-05-05,Marketing,968.01,Finance,Google Ads
2024-05-06,Office Supplies,79.50,Sales,Amazon Business
2024-05-06,Office Supplies,100.83,Engineering,Amazon Business
2024-05-07,Travel,340.33,Engineering,United Airlines
2024-05-08,IT,347.50,Operations,Slack
2024-05-08,Office Supplies,49.12,Finance,Staples
2024-05-09,IT,376.19,Engineering,AWS
2024-05-09,Travel,709.01,Sales,United Airlines
2024-05-09,Equipment,649.68,Sales, Dell  
2024-05-09,Office Supplies,229.54,Operations,Office Depot
2024-05-10,IT,655.58,Finance,Atlassian
2024-05-10,Travel,635.56,Engineering,United Airlines
2024-05-11,Information Technology,432.27,Engineering,Microsoft 365
2024-05-11,Marketing,415.55,Finance,Mailchimp
2024-05-11,Marketing,1143.38,Engineering,Meta Ads
2024-05-11,Equipment,574.65,Finance,Dell
2024-05-11,IT,137.16,HR,Notion
2024-05-11,Facilities,708.45,Operations,Comcast Business
2024-05-12,Equipment,505.38,Sales,Best Buy
2024-05-12,IT,404.69,Sales,Microsoft 365
2024-05-12,IT,677.68,Sales,Microsoft 365
2024-05-12,Marketing,1084.35,Operations,LinkedIn Ads
2024-05-13,IT,891.45,HR,Microsoft 365
2024-05-13,IT,1055.35,Sales,Notion
2024-05-13,IT,353.58,Sales,Microsoft 365
2024-05-14,Equipment,891.30,HR,Best Buy
2024-05-15,Travel,612.86,Engineering,Delta
2024-05-15,it,91.09,Sales,Salesforce
2024-05-16,Facilities,1571.32,Operations,Pacific Gas & Electric
2024-05-16,IT,564.23,Engineering,Notion
2024-05-16,Office Supplies,80.63,Engineering,Office Depot
2024-05-16,Office Supplies,110.48,HR,Staples
2024-05-17,IT,246.93,Sales,AWS
2024-05-17,IT,660.05,Finance,Salesforce
2024-05-17,Professional Services,4462.20,Sales,Deloitte
2024-05-17,equipment,1153.39,Finance,Dell
2024-05-17,Marketing,597.51,Sales,Mailchimp
2024-05-18,Marketing,725.47,Sales,Mailchimp
2024-05-19,  IT ,487.78,Engineering,Datadog
2024-05-19,Marketing,,HR, Canva  
2024-05-19,Marketing,977.57,Operations,HubSpot
2024-05-19,Marketing,439.74,Sales,HubSpot
2024-05-20,Travel,610.69,Sales,United Airlines
2024-05-20,Marketing,1140.34,Operations,Google Ads
2024-05-20,Travel,121.70,Engineering,Lyft
2024-05-20,Travel,457.44,Operations,Marriott
2024-05-22,Marketing,951.49,Finance,Mailchimp
2024-05-22,FACILITIES,462.76,Sales,Comcast Business
2024-05-22,IT,180.94,Sales,Datadog
2024-05-22,Office Supplies,143.60,HR,Staples
2024-05-22,Office Supplies,50.58,Sales,Office Depot
2024-05-22,Office Supplies,48.00,Engineering,Amazon Business
2024-05-23,Marketing,670.98,Sales,Meta Ads
2024-05-24,Office Supplies,69.77,HR,Office Depot
2024-05-24,equipment,965.89,Operations,Apple
2024-05-24,IT,227.64,Sales,AWS
2024-05-24,Professional Services,1063.25,Engineering,Anderson Tax LLP
2024-05-25,IT,472.81,HR,GitHub
2024-05-25,Facilities,1304.67,Engineering,Pacific Gas & Electric
2024-05-25,Marketing,895.67,Finance, Mailchimp  
2024-05-26,  Professional Services ,2404.07,Engineering,Reed & Co Legal
2024-05-27,Travel,293.86,Engineering,Delta
2024-05-27,  Marketing ,673.40,Engineering,Google Ads
2024-05-27,IT,746.60,Sales,Zoom
2024-05-28,Facilities,1843.39,Sales,Spectrum
2024-05-28,Travel,411.58,Engineering,Uber
2024-05-28,Marketing,503.73,Sales,Canva
2024-05-28,Marketing,682.28,Operations,Meta Ads
2024-05-29,Information Technology,596.01,Engineering,GitHub
